,Default,purpose,dti_n,home_ownership,revenue,loan_amnt,addr_state,fico_n
375543,0,major_purchase,0.58,RENT,52000.0,3000,WA,762.0
375544,0,other,14.18,OWN,55000.0,5000,GA,677.0
375545,0,home_improvement,20.25,MORTGAGE,40000.0,7000,TX,697.0
375546,0,debt_consolidation,27.58,OWN,57000.0,30000,FL,682.0
375547,0,house,15.76,OWN,85000.0,21000,NY,667.0
375548,0,debt_consolidation,4.09,MORTGAGE,150000.0,40000,NY,732.0
375549,0,credit_card,13.85,RENT,36610.0,5000,NJ,767.0
375550,0,home_improvement,9.66,MORTGAGE,86000.0,15000,CA,762.0
375551,0,debt_consolidation,21.45,RENT,38000.0,12000,CA,662.0
375552,0,other,36.44,MORTGAGE,50000.0,3000,IN,797.0
375553,0,debt_consolidation,22.75,RENT,43000.0,12000,NV,707.0
375554,1,debt_consolidation,17.76,MORTGAGE,50000.0,19000,MO,692.0
375555,1,debt_consolidation,22.05,OWN,70000.0,17000,CA,712.0
375556,0,credit_card,18.47,MORTGAGE,73620.0,24000,MI,677.0
375557,0,house,18.13,OWN,94796.0,20000,UT,727.0
375558,0,major_purchase,24.69,RENT,42000.0,10000,FL,722.0
375559,0,credit_card,10.56,RENT,122000.0,1000,TX,707.0
375560,0,house,16.18,OWN,95000.0,30000,TX,682.0
375561,0,credit_card,16.32,RENT,200000.0,35000,NV,672.0
375562,0,home_improvement,1.26,MORTGAGE,57000.0,3500,CA,687.0
375563,0,debt_consolidation,17.84,MORTGAGE,80000.0,25000,PA,682.0
375564,1,car,34.17,RENT,62400.0,14400,NJ,707.0
375565,1,debt_consolidation,5.68,RENT,30000.0,15000,AZ,702.0
375566,0,debt_consolidation,3.89,RENT,50000.0,1000,FL,682.0
375567,0,credit_card,18.65,MORTGAGE,75000.0,23000,MS,727.0
375568,0,debt_consolidation,28.74,MORTGAGE,40000.0,7800,MN,757.0
375569,1,debt_consolidation,15.64,RENT,31000.0,14000,NV,687.0
375570,1,debt_consolidation,16.05,MORTGAGE,79500.0,15000,MD,682.0
375571,0,debt_consolidation,1.05,RENT,25000.0,30625,CT,802.0
375572,0,home_improvement,39.25,RENT,109000.0,24000,CA,747.0
375573,1,credit_card,43.63,MORTGAGE,145000.0,20000,CO,687.0
375574,0,credit_card,13.25,MORTGAGE,145000.0,8000,FL,772.0
375575,0,debt_consolidation,8.15,RENT,38200.0,7000,NC,662.0
375576,0,debt_consolidation,10.66,MORTGAGE,140000.0,10000,CA,667.0
375577,0,other,13.52,RENT,30000.0,3200,FL,712.0
375578,1,home_improvement,21.61,RENT,114000.0,6000,TX,707.0
375579,0,medical,21.15,MORTGAGE,89000.0,12000,MD,692.0
375580,1,major_purchase,18.33,RENT,65000.0,4800,FL,722.0
375581,0,other,8.91,OWN,500000.0,7500,CO,722.0
375582,0,debt_consolidation,29.45,MORTGAGE,134315.0,35000,GA,697.0
375583,0,debt_consolidation,26.67,MORTGAGE,85000.0,6000,AZ,802.0
375584,0,medical,9.12,RENT,47000.0,3000,WI,757.0
375585,0,debt_consolidation,29.57,MORTGAGE,67000.0,10000,FL,712.0
375586,0,credit_card,15.75,RENT,186500.0,20000,NY,737.0
375587,0,credit_card,58.43,MORTGAGE,92000.0,24000,ID,722.0
375588,1,debt_consolidation,5.92,MORTGAGE,500000.0,26275,IL,672.0
375589,0,major_purchase,19.0,MORTGAGE,124000.0,11000,WA,687.0
375590,0,home_improvement,3.51,MORTGAGE,111000.0,2400,OH,702.0
375591,0,debt_consolidation,15.55,RENT,275000.0,40000,MI,722.0
375592,1,debt_consolidation,19.86,RENT,35000.0,20000,CA,697.0
375593,0,debt_consolidation,21.03,OWN,30696.0,5500,NY,752.0
375594,1,other,24.04,MORTGAGE,63000.0,30000,HI,697.0
375595,0,car,26.94,MORTGAGE,79000.0,6000,MD,767.0
375596,0,small_business,63.0,RENT,18000.0,5750,FL,727.0
375597,0,debt_consolidation,16.0,RENT,24600.0,5000,NY,747.0
375598,0,home_improvement,27.83,MORTGAGE,125000.0,18000,KS,717.0
375599,0,credit_card,5.44,RENT,34000.0,2100,NV,697.0
375600,0,debt_consolidation,12.02,MORTGAGE,82000.0,16000,OR,697.0
375601,0,debt_consolidation,8.54,MORTGAGE,84000.0,16000,CA,672.0
375602,0,other,32.44,RENT,54500.0,15000,FL,742.0
375603,0,credit_card,15.33,RENT,85000.0,12000,TX,677.0
375604,0,car,4.42,MORTGAGE,103451.0,8000,NC,707.0
375605,0,debt_consolidation,25.6,OWN,90000.0,38000,TX,702.0
375606,0,credit_card,24.64,RENT,44000.0,11000,UT,672.0
375607,0,debt_consolidation,34.16,MORTGAGE,185000.0,24000,NJ,702.0
375608,0,credit_card,11.32,MORTGAGE,150000.0,30000,MD,697.0
375609,0,major_purchase,9.85,RENT,30000.0,24000,FL,712.0
375610,0,debt_consolidation,3.89,MORTGAGE,80000.0,15000,CA,697.0
375611,0,debt_consolidation,18.79,OWN,100000.0,16000,FL,722.0
375612,0,debt_consolidation,4.94,RENT,50000.0,8000,CA,662.0
375613,1,home_improvement,27.84,MORTGAGE,40000.0,25000,OH,722.0
375614,0,debt_consolidation,16.14,RENT,65000.0,4500,NJ,722.0
375615,0,debt_consolidation,24.41,RENT,90000.0,14000,CA,682.0
375616,0,credit_card,19.11,RENT,89696.0,24000,NY,667.0
375617,0,vacation,24.07,MORTGAGE,70000.0,5000,GA,707.0
375618,0,other,2.69,MORTGAGE,45000.0,6400,DE,772.0
375619,1,credit_card,12.41,OWN,90000.0,20000,MD,682.0
375620,0,other,8.82,OWN,40000.0,5500,TX,762.0
375621,0,debt_consolidation,17.88,OWN,40000.0,5000,NY,777.0
375622,0,other,31.2,MORTGAGE,62000.0,9850,WA,712.0
375623,1,debt_consolidation,15.25,RENT,75000.0,25000,NY,732.0
375624,0,home_improvement,10.97,MORTGAGE,115000.0,10000,MO,792.0
375625,0,debt_consolidation,16.53,MORTGAGE,62000.0,20000,FL,687.0
375626,1,credit_card,33.58,RENT,58000.0,12000,NY,722.0
375627,1,debt_consolidation,22.69,RENT,120000.0,15000,MO,727.0
375628,0,debt_consolidation,8.66,MORTGAGE,130000.0,40000,WA,722.0
375629,0,other,21.08,MORTGAGE,85000.0,18400,NE,797.0
375630,0,credit_card,7.31,MORTGAGE,50000.0,6000,FL,682.0
375631,0,home_improvement,18.75,MORTGAGE,90000.0,4800,TX,672.0
375632,0,home_improvement,4.96,MORTGAGE,100000.0,7200,WI,747.0
375633,0,debt_consolidation,27.6,MORTGAGE,122000.0,15000,CO,662.0
375634,0,debt_consolidation,20.4,MORTGAGE,75000.0,30000,TX,732.0
